,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Bouchra,Crypto,BTC,Core,BTC,208.58241942,14126745.508294972,67727.40266210769,-400.14614211258595,-0.5873485089893594,-83463.45044342277,0.0,0.0,1573325.8789304225,-83463.45044342277,14126745.508294972,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,,,1512878.500560088,,,,0.6426778239710984,0.0,0.0,392375.82966695656,0.6426778239710984,1642898.6695045487,,0.3176526264248025,-459.7546872647421,0.11224046878000354,
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,FIP,27144.0,268348.5506517595,9.886109293094588,-6.675601083472316e-06,-6.752501290305078e-05,-0.18120251581513003,0.0,0.0,19393.780651737805,-0.18120251581513003,268348.5506517595,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF,245800.0,1405422.8917561127,5.7177497630435825,-3.860913873054983e-06,-6.752501291552172e-05,-0.9490126299515396,0.0,0.0,364917.6767561124,-0.9490126299515396,1405422.8917561127,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,BTC,E_CRYPTO_EQUITY ,WULF/16Aug2024/C7.0,-865.0,-160892.9418477839,0.356910669402583,-35.322165207896205,-98.99966391890305,1.772892969737768,0.0,0.0,8064.372259106288,1.772892969737768,-30872.772903323425,32.518077094422544,0.3176526264248025,-459.7546872647421,0.11224046878000354,1.3278449618177355
Bouchra,Crypto,BTC,Options ,,,6211383.827715203,,,,-40378.05598673928,0.0,0.0,120394.37619516312,-297446.0426843579,1285518.871371868,,-257067.98669761885,-1821.8081969098494,11574.137185472897,
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-69000=GALAXY_HK,150.0,4914653.2873527175,2927.776174718034,-179.70660467971538,-5.783028175446357,-26953.315056129766,0.0,0.0,176219.1018535326,302865.7111375955,439166.42620770505,48.376807556728,329819.0261937253,6891.502683977801,-23811.608230024965,0.7214770161237858
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-70000=GALAXY_HK,250.0,7415472.592106811,2544.590277256826,-159.3281694887737,-5.8924916792715765,-39826.111360277515,0.0,0.0,181078.5003261224,498878.2102106613,636147.5693142065,43.79599571595938,538704.3215709388,11356.091083812142,-39585.816276965,0.7278824039127335
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-72000=GALAXY_HK,-150.0,-3594314.6705716643,1912.287697310021,-123.60390058400299,-6.071241745477111,18538.08315534424,0.0,0.0,-133395.65652875934,-280494.3515499506,-286843.1545965031,35.380210759532744,-299032.43470529484,-6428.726603437628,22854.298768758097,0.7423196159671149
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-78000=GALAXY_HK,-75.0,-884074.5254515935,806.1019421542369,-56.13945280421285,-6.510874232258142,4209.486454730992,0.0,0.0,-3458.6181671527374,-92360.92698248758,-60457.64566156777,17.40456576810315,-96570.41343721857,-2220.5813957076844,8443.526025871392,0.7939744602842129
