,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-72000=GALAXY_HK,-150.0,-1282721.5928421896,244.1623862392571,-35.98004001776826,-12.843481260049222,5394.981028951865,0.0,0.0,116823.61709039805,-352241.2448754829,-36624.35793588856,12.740111915501874,-357636.2259044348,-2043.7874027139883,17902.59201256109,0.6034994120179075
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-78000=GALAXY_HK,-150.0,-205420.6685344667,35.18503206864307,-5.379071515610349,-13.260669015987947,806.2749441518681,0.0,0.0,95596.65940651385,-68551.01521574055,-5277.75481029646,2.040257466226573,-69357.29015989242,-482.46385409751167,5144.102382082379,0.7346068965608483
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG09-C-78000=GALAXY_HK,-175.0,-936801.3562278969,235.1676045399563,-18.621511211301367,-7.3373955207569175,3257.750237988148,0.0,0.0,86469.65498151806,-169410.7293065789,-41154.33079449235,7.975199553959422,-172668.47954456706,-2958.1565479499113,8414.983176137648,0.5942412592688552
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG16-C-78000=GALAXY_HK,-175.0,-1533149.248519252,512.0058110043483,-32.64982859321208,-5.994581937559051,5712.649617570649,0.0,0.0,103897.9126879976,-197189.27338616078,-89601.01692576095,13.052042593295994,-202901.9230037314,-5477.283049235617,8770.742059188979,0.5586856227121523
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG16-P-61000=GALAXY_HK,-100.0,1117826.7415016417,696.970174415259,30.635831759100256,4.597666636388413,-3064.17565190859,0.0,0.0,35302.39008247554,-153540.03333763755,-69697.0174415259,-16.653541035334896,-150475.85768572896,-3684.54461188189,5351.714644093763,0.5067636645558413
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-66000=GALAXY_HK,125.0,5013638.803638046,4905.215744378656,-144.63751060196228,-2.8641923497342776,-18078.632071873522,0.0,0.0,695078.0248007039,197096.92597148594,613151.968047332,59.75512050504003,215175.55804335946,9614.558070818428,-7789.421031588004,0.5095125427462094
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-69000=GALAXY_HK,-125.0,-4031588.766177596,3494.6897838117475,-113.00494210393299,-3.132331050412001,14124.558403345873,0.0,0.0,-534212.2823361142,-205968.9209867587,-436836.2229764684,48.050544122743325,-220093.47939010453,-9900.561104528191,8075.174325363728,0.5129453821359535
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-75000=GALAXY_HK,200.0,3799089.0801053955,1723.717532422248,-62.46974408443566,-3.497379300932553,-12492.50444393036,0.0,0.0,-51280.04914259362,275168.05753365887,344743.5064844496,28.29968345874242,287660.5619775892,13451.274779141964,-11404.756733705075,0.5332140812988073
Bouchra,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-79000=GALAXY_HK,-200.0,-2587070.2993602036,1086.4697474064033,-41.243769445798534,-3.6572913979893302,8247.55793041442,0.0,0.0,18179.854559974046,-216167.3929352552,-217293.94948128064,19.271269773799737,-224414.95086566958,-10882.186535824512,9567.974421924675,0.5529461881188097
Bouchra,Crypto,BTC,Options ,BTCUSD-2024DEC27-C-140000=GALAXY_HK,200.0,1229842.5278597982,1121.8881832657798,-11.060441223269663,-0.976252672380253,-2211.6579622281715,0.0,0.0,-406521.93306441826,45381.911153896406,224377.63665315596,9.161184038771303,47593.56911612458,14915.322358329695,-3407.2414364158085,0.687349536842699
