,,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Pod(L2),Book(L3),Desk Strategy,Underlier,Expiry,Ticker,,,,,,,,,,,,,,,,
Beimnet,StratOps,,AKT,,AKT,-204232.1459999988,-694389.2963999975,3.4,-0.27,-7.3569482288828345,55142.67942000134,0.0,0.0,-2506220.0787053616,55142.67942000134,-694389.2963999975,0.0,0.0,0.0,0.0,0.0
Bouchra,,,,,,,28862369.524970867,,,,-859682.4648274262,-3472487.4102553637,70262.62053762513,1891896.0812273608,-4226843.862950467,22756891.425837,,175588.87519250606,-228.6924063989254,-12921.572585704453,
Bouchra,Crypto,,,,,,27955517.63907799,,,,-846960.6126242755,-3472487.4102553637,70262.62053762513,1941113.7650797272,-4214122.010747315,22689032.451021176,,175588.8753101897,-2513.773594117705,-12921.39643134658,
Bouchra,Crypto,Core,,,,,18690360.38384558,,,,-705210.7290538707,-2951762.085966792,51180.236680816946,1694055.7114683767,-3708153.0517014796,18690360.38384558,,0.0,0.0,0.0,
Bouchra,Crypto,Core,BTC,,,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,BTC,178.7127395,11780696.573477428,65919.7358086351,-2207.8129955851764,-3.2407051689615605,-430107.9653101364,-1969001.4090148928,30403.010935937287,1226681.3640637088,-2429512.3852609666,11780696.573477428,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,DOGE,6374114.824592309,836420.75370448,0.131221475722,-0.01017675043500002,-7.197226380831944,-64867.77581390989,0.0,0.0,-123591.24279068699,-64867.77581390989,836420.75370448,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,ETH,675.9318431499998,2356218.555208456,3485.881866769182,-2.5610844265470405,-0.07341626228025833,5685.641835765418,3875.4708216690124,7413.913036447804,408024.6339010683,2147.19962098651,2356218.555208456,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,SOL,16689.869965600003,2905463.218557144,174.08543173468,-8.513620272894002,-4.662466852533751,-176979.18602410203,-986636.1477735682,13363.312708431855,542972.5986682784,-1176978.646506102,2905463.218557144,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,STX,269995.74,478390.07664306817,1.771843054424,-0.113605352627,-6.025375831136548,-30672.961250487802,0.0,0.0,-343202.84859819175,-30672.961250487802,478390.07664306817,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,TON,48638.1323,333171.20625499997,6.85,-0.16999999999999993,-2.421652421652421,-8268.482490999973,0.0,0.0,-16828.793775800033,-8268.482490999973,333171.20625499997,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,,,,,1496443.972396564,,,,-35433.619617656426,0.0,0.0,356941.56737147615,-35433.619617656426,1607466.8244548377,,0.24264024123255012,-419.01355456405304,0.08960365394249353,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,1496443.972396564,,,,-35433.619617656426,0.0,0.0,356941.56737147615,-35433.619617656426,1607466.8244548377,,0.24264024123255012,-419.01355456405304,0.08960365394249353,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,1632228.9936288309,,,,-41543.57899418682,0.0,0.0,342769.0086288092,-41543.57899418682,1632228.9936288309,,0.0,0.0,0.0,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,FIP,27144.0,275946.02976540447,10.166004633267185,0.27988866457151396,2.831128680442145,7597.297911129169,0.0,0.0,26991.259765382783,7597.297911129169,275946.02976540447,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,WULF,245800.0,1356282.9638634264,5.5178314233662595,-0.19992220059119603,-3.4965165297350285,-49140.87690531599,0.0,0.0,315777.7488634264,-49140.87690531599,1356282.9638634264,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,2024AUG16,,-865.0,-135785.02123226697,0.28626785172246466,-35.39280802557632,-99.197659006901,6109.959376530394,0.0,0.0,14172.558742666944,6109.959376530394,-24762.169173993192,28.437844775125022,0.24264024123255012,-419.01355456405304,0.08960365394249353,1.311127280615833
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,2024AUG16,WULF/16Aug2024/C7.0,-865.0,-135785.02123226697,0.28626785172246466,-35.39280802557632,-99.197659006901,6109.959376530394,0.0,0.0,14172.558742666944,6109.959376530394,-24762.169173993192,28.437844775125022,0.24264024123255012,-419.01355456405304,0.08960365394249353,1.311127280615833
Bouchra,Crypto,Options ,,,,,6245210.099852383,,,,-241679.59220624436,-524986.0268110719,13897.478194283212,-225044.54712454102,-604974.4645416511,867702.0597372948,,175588.63266994862,-2094.7600395536556,-12921.486035000515,
Bouchra,Crypto,Options ,BTC,,,,7090302.0717516225,,,,-246620.4782146649,-524986.0268110719,13897.478194283212,-85848.04603276258,-620264.6041560739,1035398.6253548822,,165239.37906394628,1941.454614775385,-12024.911219461315,
Bouchra,Crypto,Options ,BTC,2024AUG02,,,5664170.438362008,,,,-293328.28150140785,-524986.0268110719,13897.478194283212,-28853.09721133292,-385378.0128582169,434841.74088051234,,446833.773648546,7715.504886619912,-26689.587545082508,
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-69000=GALAXY_HK,150.0,3739323.392684337,1825.2445700564858,-1282.2382093412634,-41.2629224477881,-192332.7526116658,0.0,0.0,10839.664297996555,143249.50857305748,273786.68550847284,37.81693344503673,335582.2611847233,6081.369144006589,-22260.71935519239,0.6924983698270031
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-70000=GALAXY_HK,250.0,5476359.728801435,1540.28939898924,-1163.6290477563598,-43.03491657290508,-290900.86304899974,0.0,0.0,-69996.25136259984,237717.34182727238,385072.34974731,33.230471339868835,528618.2048762721,9681.454600540823,-35815.34668982628,0.6998627730964114
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-72000=GALAXY_HK,-150.0,-2501540.629501621,1093.7594662422125,-942.1321316518115,-46.27614420268623,141317.27314880752,0.0,0.0,-10616.466535296058,-131497.69123982656,-164063.91993633186,25.2988537126786,-272814.9643886341,-5115.021877508904,19371.423995366196,0.7164661782628309
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-78000=GALAXY_HK,-150.0,-1049972.0536221438,399.68916292625727,-462.5522320321925,-53.64532887619971,48588.061010450154,-524986.0268110719,13897.478194283212,40919.956388566425,-634847.1720187202,-59953.37443893859,10.6186919667499,-144551.72802381526,-2932.2969804185936,12015.054504569966,0.7751765149576764
Bouchra,Crypto,Options ,BTC,2024AUG30,,,1131152.9515082613,,,,-39721.52594561345,0.0,0.0,131353.9968804135,-39383.48024564359,249853.99514583545,,338.0456999698654,-187.50890636552504,338.4226745132073,
Bouchra,Crypto,Options ,BTC,2024AUG30,BTCUSD-2024AUG30-C-66000=GALAXY_HK,200.0,7425578.571788855,5763.692950462759,-1689.2640604776716,-22.665689041248292,-337850.7844048844,0.0,0.0,784365.6177832016,-85251.10496705971,1152738.5900925517,56.32287873047078,252599.67943782467,16853.883476659263,-14252.43708005548,0.6335438530798122
Bouchra,Crypto,Options ,BTC,2024AUG30,BTCUSD-2024AUG30-C-69000=GALAXY_HK,-200.0,-6294425.620280594,4514.422974733581,-1490.656422076714,-24.823259170703103,298129.25845927093,0.0,0.0,-653011.6209027881,45867.62472141613,-902884.5949467162,47.74310411796327,-252261.6337378548,-17041.392383024788,14590.859754568688,0.6414508165338334
Bouchra,Crypto,Options ,BTC,2024DEC27,,,-517457.1344073983,,,,33287.462524754636,0.0,0.0,-170657.07089374796,10890.453208044666,-67656.80301773432,,-22397.009316709984,-8240.468889693664,2024.1461391429548,
